No.,State,District,Date,Flood Cause,Main River Basin,latitude,longitude,geocode_status
28,Sabah,Beaufort,29/05/2025,"Air Laut Pasang, Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (PADSTP0005 - Kg. Batu 60); Sungai Padas (PADSTP0036 - Kg. Binunuk); Sungai Padas (PADSTP0035 - Kg. Balibata); Sungai Padas (PADSTP0018 - Kg. Bakalau); Sungai Padas (PADSTP0019 - Kg. Bingkul); Sungai Padas (PADSTP0050 - Kg. Lago Gumarit); Sungai Padas (PADSTP0051 - Kg. Suasa); Sungai Padas (Kg Kukup); Sungai Padas (Kg Kangsa); Sungai Padas (PADSTP0056 - Kg. Berumbai); Sungai Padas (PADSTP0054 - Kg. Bangkalalak),5.3455687,115.7453354,success
29,Johor,Pontian,29/05/2025,"Hujan Lebat / Berterusan, Lain-lain",Sungai Pulai (JRBTTP0001 - Kg. Parit Pasir),1.4869255,103.388961,success
30,Sabah,Keningau,28/05/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",-,5.3374039,116.1566801,success
31,Kedah,Kota Setar,27/05/2025,"Air Laut Pasang, Air Sungai Melimpah",Sungai Kedah (Pasar Nelayan Seberang Kota); Sungai Kedah (KDHTP00043 - Pekan Kuala Kedah),6.0969533,100.3539766,success
32,Sabah,Beaufort,20/05/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Padas (PADSTP0018 - Kg. Bakalau); Sungai Padas (PADSTP0036 - Kg. Binunuk); Sungai Padas (PADSTP0035 - Kg. Balibata); Sungai Padas (PADSTP0019 - Kg. Bingkul); Sungai Padas (PADSTP0051 - Kg. Suasa); Sungai Padas (PADSTP0074 - Kg. Lago); Sungai Padas (PADSTP0021 - Kg. Mempagar (SK)); Sungai Padas (PADSTP0020 - Kg. Melulugus); Sungai Padas (Kg Kukup); Sungai Padas (PADSTP0005 - Kg. Batu 60); Sungai Padas (Kg Kangsa); Sungai Padas (PADSTP0056 - Kg. Berumbai); Sungai Padas (Kg Gumarit); Sungai Padas (PADSTP0048 - Kg. Lawa); Sungai Padas (Simpang 4 Chan Furniture); Sungai Padas (PADSTP0082 - Kg. Lumatai); Sungai Padas (Kg. Sungkadan),5.3455687,115.7453354,success
33,Negeri Sembilan,Rembau,19/05/2025,"Hujan Lebat / Berterusan, Saliran Dalaman","Sungai Linggi (PDASTP0025 - Jalan Mungkal 1, Sepri)",2.590525,102.0929861,success
34,Sabah,Keningau,19/05/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",-,5.3374039,116.1566801,success
35,Sabah,Keningau,19/05/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",-,5.3374039,116.1566801,success
36,Sabah,Keningau,19/05/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",-,5.3374039,116.1566801,success
37,Pahang,Cameron Highlands,18/05/2025,"Hujan Lebat / Berterusan, Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Pahang (TLUMTP0051 - Pekan Kg. Raja),4.4678921,101.3847868,success
38,Melaka,Jasin,18/05/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Melaka (TAMAN BATANG MELAKA JAYA); Sungai Melaka (BTMLTP0001 - Pekan Batang Melaka),2.311337,102.4309231,success
39,Sabah,Keningau,16/05/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",-,5.3374039,116.1566801,success
40,Sabah,Membakut,13/05/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Membakut (Kg. Baitam Baru); Sungai Membakut (Kg. Jambatan Baru); Sungai Membakut (Kg. Lumantak); Sungai Membakut (Pekan Lama Membakut),5.5264766,115.6966003,success
41,Sabah,Nabawan,12/5/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",-,5.0436159,116.4357424,success
42,Pulau Pinang,Timur Laut Pulau Pinang,12/5/2025,"Air Laut Pasang, Hujan Lebat / Berterusan",-,5.4140975,100.3285271,success
43,Kedah,Baling,10/5/2025,Air Sungai Melimpah,Sungai Muda (KAMPUNG PANTAI),5.673566,100.9158818,success
44,Kedah,Kuala Muda,10/5/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Struktur / Lintasan Menghalang Laluan Air",-,5.5862766,100.3743503,success
45,Kedah,Yan,10/5/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",-,5.79495,100.372658,success
